"Iteration","CL","CD","CSF","CMx","CMy","CMz","CFx","CFy","CFz","CL/CD","AoA","Custom_ObjFunc","HeatFlux_Total","HeatFlux_Maximum","Temperature_Total","Res_Flow[0]","Res_Flow[1]","Res_Flow[2]","Res_Flow[3]","Res_Flow[4]","Res_Turb[0]","Linear_Solver_Iterations","CFL_Number","Time(min)"
          37, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -4.82582072e+00, -3.57805152e+00, -4.33786082e+00, 1.26981798e+00, 0.00000000e+00, -13.4874865294, 10.0000000000, 2255.1800610045, 0.0346615178
          38, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -4.88237982e+00, -3.57921745e+00, -4.36246811e+00, 1.21355052e+00, 0.00000000e+00, -13.5078502460, 10.0000000000, 2409.1080963158, 0.0355626668
          39, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -4.93288735e+00, -3.58768639e+00, -4.37767139e+00, 1.16391363e+00, 0.00000000e+00, -13.5396944526, 10.0000000000, 2672.2079976194, 0.0364568793
          40, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -4.97911106e+00, -3.60128601e+00, -4.40995949e+00, 1.11916066e+00, 0.00000000e+00, -13.5760684664, 10.0000000000, 2928.0586489418, 0.0373522962
          41, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -5.00683255e+00, -3.62049141e+00, -4.43593992e+00, 1.09430542e+00, 0.00000000e+00, -13.5893366230, 10.0000000000, 3179.6706736422, 0.0382474566
          42, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -5.01461108e+00, -3.64124727e+00, -4.46187794e+00, 1.08876344e+00, 0.00000000e+00, -13.6164434335, 10.0000000000, 3328.6362315880, 0.0391492542
          43, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -5.00072632e+00, -3.66782569e+00, -4.48180560e+00, 1.10457764e+00, 0.00000000e+00, -13.6473597882, 10.0000000000, 3362.7913753016, 0.0401310588
          44, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -4.97202060e+00, -3.69916880e+00, -4.50249697e+00, 1.13460273e+00, 0.00000000e+00, -13.6738650934, 10.0000000000, 3242.5428457162, 0.0412010621
          45, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -4.93017289e+00, -3.73161059e+00, -4.52361631e+00, 1.17711259e+00, 0.00000000e+00, -13.6876740282, 10.0000000000, 3025.9422362389, 0.0421439501
          46, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -4.87777197e+00, -3.76757419e+00, -4.54666277e+00, 1.22959465e+00, 0.00000000e+00, -13.6909528462, 10.0000000000, 2743.7893875858, 0.0430348329
