"Pressure"	"Velocity:0"	"Velocity:1"	"Velocity:2"	"Temperature"	"Nu_Tilde"	"Residual_Pressure"	"Residual_Velocity:0"	"Residual_Velocity:1"	"Residual_Velocity:2"	"Residual_Temperature"	"Residual_Nu_Tilde"	"Pressure_Coefficient"	"Laminar_Viscosity"	"Skin_Friction_Coefficient:0"	"Skin_Friction_Coefficient:1"	"Skin_Friction_Coefficient:2"	"Heat_Flux"	"Y_Plus"	"Eddy_Viscosity"	"Thermal_Conductivity"	"vtkValidPointMask"	"arc_length"	"Points:0"	"Points:1"	"Points:2"
429.69	-0.056348	0.022699	0	322.04	2.8062e-006	-5.3055e-013	-1.1556e-012	1.0198e-013	0	-6.6734e-007	-6.2011e-020	13.775	0.001003	0	0	0	0	0	0.00016108	1.3485	1	7.35e-005	0.0022	7.35e-005	0
429.68	-0.056239	0.02313	0	322.04	2.8057e-006	-5.9306e-013	-9.368e-013	1.0013e-012	0	-2.0201e-006	-5.8517e-020	13.775	0.001003	0	0	0	0	0	0.00016097	1.348	1	7.5e-005	0.0022	7.5e-005	0
429.68	-0.056125	0.023551	0	322.03	2.8053e-006	-6.4038e-013	-4.7986e-013	1.9916e-012	0	-2.0126e-006	-5.498e-020	13.774	0.001003	0	0	0	0	0	0.00016097	1.348	1	7.65e-005	0.0022	7.65e-005	0
429.68	-0.05601	0.023972	0	322.03	2.8048e-006	-6.8771e-013	-2.2926e-014	2.9818e-012	0	-2.0052e-006	-5.1442e-020	13.774	0.001003	0	0	0	0	0	0.00016097	1.348	1	7.8e-005	0.0022	7.8e-005	0
429.68	-0.055896	0.024393	0	322.02	2.8043e-006	-7.3503e-013	4.3401e-013	3.9721e-012	0	-1.9978e-006	-4.7905e-020	13.774	0.001003	0	0	0	0	0	0.00016097	1.348	1	7.95e-005	0.0022	7.95e-005	0
429.68	-0.055781	0.024814	0	322.02	2.8038e-006	-7.8235e-013	8.9095e-013	4.9624e-012	0	-1.9903e-006	-4.4367e-020	13.774	0.001003	0	0	0	0	0	0.00016097	1.348	1	8.1e-005	0.0022	8.1e-005	0
429.68	-0.055665	0.025238	0	322.01	2.8034e-006	-7.8804e-013	1.1756e-012	5.4869e-012	0	-1.7545e-006	-4.6796e-020	13.775	0.001003	0	0	0	0	0	0.00016091	1.3477	1	8.25e-005	0.0022	8.25e-005	0
429.7	-0.055544	0.025667	0	322.01	2.803e-006	-7.059e-013	1.0967e-012	5.0288e-012	0	-1.0371e-006	-6.1811e-020	13.775	0.001003	0	0	0	0	0	0.0001607	1.3467	1	8.4e-005	0.0022	8.4e-005	0
429.71	-0.055422	0.026096	0	322	2.8025e-006	-6.2375e-013	1.0178e-012	4.5706e-012	0	-3.1967e-007	-7.6826e-020	13.776	0.001003	0	0	0	0	0	0.00016049	1.3457	1	8.55e-005	0.0022	8.55e-005	0
429.73	-0.055301	0.026525	0	322	2.8021e-006	-5.416e-013	9.3892e-013	4.1125e-012	0	3.9777e-007	-9.1841e-020	13.776	0.001003	0	0	0	0	0	0.00016028	1.3448	1	8.7e-005	0.0022	8.7e-005	0
429.75	-0.05518	0.026955	0	321.99	2.8017e-006	-4.5945e-013	8.6003e-013	3.6544e-012	0	1.1152e-006	-1.0686e-019	13.777	0.001003	0	0	0	0	0	0.00016007	1.3438	1	8.85e-005	0.0022	8.85e-005	0
429.76	-0.055059	0.027384	0	321.99	2.8013e-006	-3.7731e-013	7.8114e-013	3.1962e-012	0	1.8326e-006	-1.2187e-019	13.777	0.001003	0	0	0	0	0	0.00015986	1.3428	1	9e-005	0.0022	9e-005	0
429.78	-0.054938	0.027813	0	321.98	2.8009e-006	-2.9516e-013	7.0225e-013	2.7381e-012	0	2.5501e-006	-1.3689e-019	13.778	0.001003	0	0	0	0	0	0.00015965	1.3419	1	9.15e-005	0.0022	9.15e-005	0
429.8	-0.054809	0.028248	0	321.98	2.8004e-006	-2.0446e-013	4.656e-013	2.037e-012	0	9.6999e-006	-1.5211e-019	13.778	0.001003	0	0	0	0	0	0.00015969	1.342	1	9.3e-005	0.0022	9.3e-005	0
429.78	-0.054671	0.028682	0	321.97	2.8e-006	-1.6499e-013	4.8959e-013	2.3113e-012	0	6.098e-006	-1.613e-019	13.778	0.001003	0	0	0	0	0	0.00015962	1.3417	1	9.45e-005	0.0022	9.45e-005	0
429.72	-0.054523	0.029114	0	321.96	2.7996e-006	-1.933e-013	8.8801e-013	3.8966e-012	0	-1.2929e-005	-1.6274e-019	13.776	0.001003	0	0	0	0	0	0.00015937	1.3405	1	9.6e-005	0.0022	9.6e-005	0
429.65	-0.054366	0.029535	0	321.96	2.7991e-006	-1.9595e-013	9.1101e-013	4.82e-012	0	-2.0632e-005	-1.6787e-019	13.774	0.001003	0	0	0	0	0	0.00015935	1.3404	1	9.75e-005	0.0022	9.75e-005	0
429.58	-0.054208	0.029953	0	321.95	2.7987e-006	-1.9361e-013	8.6099e-013	5.6147e-012	0	-2.6132e-005	-1.7373e-019	13.771	0.001003	0	0	0	0	0	0.00015937	1.3405	1	9.9e-005	0.0022	9.9e-005	0
429.51	-0.05405	0.030372	0	321.94	2.7982e-006	-1.9127e-013	8.1097e-013	6.4094e-012	0	-3.1633e-005	-1.7959e-019	13.769	0.001003	0	0	0	0	0	0.0001594	1.3407	1	0.0001005	0.0022	0.0001005	0
429.44	-0.053893	0.03079	0	321.94	2.7977e-006	-1.8893e-013	7.6095e-013	7.2042e-012	0	-3.7133e-005	-1.8545e-019	13.767	0.001003	0	0	0	0	0	0.00015942	1.3408	1	0.000102	0.0022	0.000102	0
429.37	-0.053735	0.031209	0	321.93	2.7972e-006	-1.8659e-013	7.1093e-013	7.9989e-012	0	-4.2634e-005	-1.913e-019	13.765	0.001003	0	0	0	0	0	0.00015945	1.3409	1	0.0001035	0.0022	0.0001035	0
429.31	-0.053573	0.031625	0	321.92	2.7967e-006	-1.8256e-013	6.1769e-013	8.5789e-012	0	-4.6245e-005	-1.9613e-019	13.763	0.001003	0	0	0	0	0	0.00015944	1.3409	1	0.000105	0.0022	0.000105	0
429.26	-0.05339	0.032031	0	321.92	2.7963e-006	-1.6906e-013	2.8162e-013	7.9528e-012	0	-3.9236e-005	-1.9516e-019	13.761	0.001003	0	0	0	0	0	0.00015921	1.3398	1	0.0001065	0.0022	0.0001065	0
429.22	-0.053206	0.032437	0	321.91	2.7958e-006	-1.5556e-013	-5.4458e-014	7.3268e-012	0	-3.2228e-005	-1.9419e-019	13.76	0.001003	0	0	0	0	0	0.00015899	1.3388	1	0.000108	0.0022	0.000108	0
429.18	-0.053023	0.032843	0	321.91	2.7953e-006	-1.4205e-013	-3.9053e-013	6.7007e-012	0	-2.5219e-005	-1.9322e-019	13.758	0.001003	0	0	0	0	0	0.00015876	1.3377	1	0.0001095	0.0022	0.0001095	0
429.13	-0.05284	0.03325	0	321.91	2.7948e-006	-1.2855e-013	-7.2661e-013	6.0746e-012	0	-1.8211e-005	-1.9225e-019	13.757	0.001003	0	0	0	0	0	0.00015853	1.3367	1	0.000111	0.0022	0.000111	0
429.09	-0.052656	0.033656	0	321.9	2.7943e-006	-1.1505e-013	-1.0627e-012	5.4485e-012	0	-1.1202e-005	-1.9128e-019	13.756	0.001003	0	0	0	0	0	0.00015831	1.3356	1	0.0001125	0.0022	0.0001125	0
429.04	-0.052473	0.034062	0	321.9	2.7938e-006	-1.0154e-013	-1.3988e-012	4.8224e-012	0	-4.1939e-006	-1.9031e-019	13.754	0.001003	0	0	0	0	0	0.00015808	1.3346	1	0.000114	0.0022	0.000114	0
429	-0.052291	0.034466	0	321.89	2.7932e-006	-7.8568e-014	-1.8037e-012	3.9052e-012	0	5.9298e-006	-1.9028e-019	13.753	0.001003	0	0	0	0	0	0.00015796	1.334	1	0.0001155	0.0022	0.0001155	0
428.98	-0.052095	0.034858	0	321.88	2.7925e-006	-7.6857e-014	-2.0095e-012	3.953e-012	0	6.819e-006	-1.8466e-019	13.752	0.001003	0	0	0	0	0	0.00015784	1.3334	1	0.000117	0.0022	0.000117	0
428.97	-0.051883	0.035238	0	321.88	2.7917e-006	-7.7592e-014	-2.1372e-012	4.0804e-012	0	6.4342e-006	-1.795e-019	13.752	0.001003	0	0	0	0	0	0.00015771	1.3328	1	0.0001185	0.0022	0.0001185	0
428.97	-0.051671	0.035617	0	321.87	2.7909e-006	-7.8326e-014	-2.265e-012	4.2079e-012	0	6.0493e-006	-1.7435e-019	13.752	0.001003	0	0	0	0	0	0.00015758	1.3322	1	0.00012	0.0022	0.00012	0
428.96	-0.051459	0.035997	0	321.87	2.7901e-006	-7.9061e-014	-2.3928e-012	4.3353e-012	0	5.6644e-006	-1.6919e-019	13.751	0.001003	0	0	0	0	0	0.00015745	1.3316	1	0.0001215	0.0022	0.0001215	0
428.95	-0.051247	0.036376	0	321.86	2.7893e-006	-7.9796e-014	-2.5205e-012	4.4628e-012	0	5.2795e-006	-1.6404e-019	13.751	0.001003	0	0	0	0	0	0.00015732	1.331	1	0.000123	0.0022	0.000123	0
428.94	-0.051035	0.036756	0	321.85	2.7885e-006	-8.053e-014	-2.6483e-012	4.5903e-012	0	4.8946e-006	-1.5888e-019	13.751	0.001003	0	0	0	0	0	0.00015719	1.3304	1	0.0001245	0.0022	0.0001245	0
428.93	-0.050823	0.037135	0	321.85	2.7877e-006	-8.1265e-014	-2.7761e-012	4.7177e-012	0	4.5098e-006	-1.5373e-019	13.75	0.001003	0	0	0	0	0	0.00015706	1.3298	1	0.000126	0.0022	0.000126	0
428.92	-0.050611	0.037515	0	321.84	2.7869e-006	-8.2e-014	-2.9038e-012	4.8452e-012	0	4.1249e-006	-1.4857e-019	13.75	0.001003	0	0	0	0	0	0.00015693	1.3292	1	0.0001275	0.0022	0.0001275	0
428.91	-0.0504	0.037895	0	321.83	2.7861e-006	-7.5488e-014	-3.083e-012	4.6746e-012	0	7.483e-006	-1.4665e-019	13.75	0.001003	0	0	0	0	0	0.00015683	1.3287	1	0.000129	0.0022	0.000129	0
428.91	-0.05019	0.038278	0	321.83	2.7854e-006	-5.4526e-014	-3.3648e-012	3.9097e-012	0	1.8305e-005	-1.5119e-019	13.75	0.001003	0	0	0	0	0	0.00015676	1.3284	1	0.0001305	0.0022	0.0001305	0
428.91	-0.049955	0.038647	0	321.82	2.7845e-006	-5.716e-014	-3.267e-012	3.9746e-012	0	1.8001e-005	-1.5789e-019	13.75	0.001003	0	0	0	0	0	0.0001566	1.3277	1	0.000132	0.0022	0.000132	0
428.92	-0.049718	0.039015	0	321.81	2.7837e-006	-6.1611e-014	-3.1399e-012	4.1034e-012	0	1.684e-005	-1.6475e-019	13.75	0.001003	0	0	0	0	0	0.00015642	1.3269	1	0.0001335	0.0022	0.0001335	0
428.92	-0.049482	0.039383	0	321.8	2.7828e-006	-6.6061e-014	-3.0128e-012	4.2322e-012	0	1.568e-005	-1.7162e-019	13.75	0.001003	0	0	0	0	0	0.00015625	1.326	1	0.000135	0.0022	0.000135	0
428.92	-0.049245	0.03975	0	321.8	2.7819e-006	-7.0512e-014	-2.8858e-012	4.361e-012	0	1.4519e-005	-1.7848e-019	13.75	0.001003	0	0	0	0	0	0.00015608	1.3252	1	0.0001365	0.0022	0.0001365	0
428.92	-0.049008	0.040118	0	321.79	2.781e-006	-7.4963e-014	-2.7587e-012	4.4898e-012	0	1.3358e-005	-1.8535e-019	13.75	0.001003	0	0	0	0	0	0.0001559	1.3244	1	0.000138	0.0022	0.000138	0
428.93	-0.048771	0.040486	0	321.78	2.7801e-006	-7.9413e-014	-2.6316e-012	4.6186e-012	0	1.2198e-005	-1.9221e-019	13.75	0.001003	0	0	0	0	0	0.00015573	1.3236	1	0.0001395	0.0022	0.0001395	0
428.93	-0.048534	0.040854	0	321.78	2.7792e-006	-8.3864e-014	-2.5045e-012	4.7474e-012	0	1.1037e-005	-1.9908e-019	13.75	0.001003	0	0	0	0	0	0.00015556	1.3228	1	0.000141	0.0022	0.000141	0
428.93	-0.048298	0.041222	0	321.77	2.7784e-006	-8.8315e-014	-2.3774e-012	4.8762e-012	0	9.8763e-006	-2.0595e-019	13.751	0.001003	0	0	0	0	0	0.00015538	1.322	1	0.0001425	0.0022	0.0001425	0
428.92	-0.048081	0.041581	0	321.76	2.7776e-006	-8.0452e-014	-2.3186e-012	4.9021e-012	0	9.4261e-006	-2.1386e-019	13.75	0.001003	0	0	0	0	0	0.00015525	1.3214	1	0.000144	0.0022	0.000144	0
428.91	-0.047867	0.04194	0	321.75	2.7768e-006	-7.0537e-014	-2.2712e-012	4.9109e-012	0	9.0943e-006	-2.2195e-019	13.75	0.001003	0	0	0	0	0	0.00015513	1.3208	1	0.0001455	0.0022	0.0001455	0
428.88	-0.047629	0.042284	0	321.75	2.7759e-006	-6.4616e-014	-2.2452e-012	4.9257e-012	0	8.0558e-006	-2.2753e-019	13.749	0.001003	0	0	0	0	0	0.00015496	1.3201	1	0.000147	0.0022	0.000147	0
428.84	-0.04738	0.042622	0	321.74	2.7749e-006	-6.054e-014	-2.229e-012	4.9432e-012	0	6.6906e-006	-2.3195e-019	13.748	0.001003	0	0	0	0	0	0.00015477	1.3192	1	0.0001485	0.0022	0.0001485	0
428.8	-0.04713	0.04296	0	321.73	2.7739e-006	-5.6465e-014	-2.2128e-012	4.9607e-012	0	5.3253e-006	-2.3637e-019	13.746	0.001003	0	0	0	0	0	0.00015458	1.3183	1	0.00015	0.0022	0.00015	0
428.76	-0.046881	0.043298	0	321.72	2.7729e-006	-5.239e-014	-2.1967e-012	4.9782e-012	0	3.96e-006	-2.4079e-019	13.745	0.001003	0	0	0	0	0	0.00015439	1.3174	1	0.0001515	0.0022	0.0001515	0
