"Iteration","CL","CD","CSF","CMx","CMy","CMz","CFx","CFy","CFz","CL/CD","AoA","Custom_ObjFunc","HeatFlux_Total","HeatFlux_Maximum","Temperature_Total","Res_Flow[0]","Res_Flow[1]","Res_Flow[2]","Res_Flow[3]","Res_Flow[4]","Res_Turb[0]","Linear_Solver_Iterations","CFL_Number","Time(min)"
          32, -1.63707971e-02, 2.82208088e-03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -1.69843352e-05, 2.82208088e-03, -1.63707971e-02, 0.00000000e+00, -5.80096664e+00, 0.00000000e+00, 0.00000000e+00, -1.32613808e+04, 8.17798065e+06, 0.00000000e+00, -4.65528406e+00, -3.77856685e+00, -4.32407602e+00, 1.44196573e+00, 0.00000000e+00, -13.4833283402, 10.0000000000, 1667.3369309209, 0.0315187196
          33, -1.01524529e-02, 2.34075626e-03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -1.07239637e-05, 2.34075626e-03, -1.01524529e-02, 0.00000000e+00, -4.33725334e+00, 0.00000000e+00, 0.00000000e+00, -1.26965759e+04, 7.83793951e+06, 0.00000000e+00, -4.67165001e+00, -3.72598288e+00, -4.32932562e+00, 1.42490974e+00, 0.00000000e+00, -13.4604019003, 10.0000000000, 1760.9086808904, 0.0324057404
          34, -4.80370014e-03, 1.92077882e-03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -5.33541571e-06, 1.92077882e-03, -4.80370014e-03, 0.00000000e+00, -2.50091270e+00, 0.00000000e+00, 0.00000000e+00, -1.28452000e+04, 7.91904394e+06, 0.00000000e+00, -4.69952343e+00, -3.67049292e+00, -4.31505320e+00, 1.40155887e+00, 0.00000000e+00, -13.4445162646, 10.0000000000, 1817.1117351167, 0.0332952261
          35, -9.73975968e-04, 1.75032326e-03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -1.47839087e-06, 1.75032326e-03, -9.73975968e-04, 0.00000000e+00, -5.56454909e-01, 0.00000000e+00, 0.00000000e+00, -1.31435903e+04, 8.09628986e+06, 0.00000000e+00, -4.71369877e+00, -3.60950370e+00, -4.29977972e+00, 1.38949061e+00, 0.00000000e+00, -13.4623326504, 10.0000000000, 1896.9781467717, 0.0341865662
          36, 2.13896415e-03, 1.54478991e-03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.65537877e-06, 1.54478991e-03, 2.13896415e-03, 0.00000000e+00, 1.38463110e+00, 0.00000000e+00, 0.00000000e+00, -1.24495297e+04, 7.68390169e+06, 0.00000000e+00, -4.79395075e+00, -3.60356129e+00, -4.33637725e+00, 1.30402746e+00, 0.00000000e+00, -13.4717949498, 10.0000000000, 1939.6212432848, 0.0350755339
          37, 4.70516138e-03, 1.40498818e-03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 4.24304899e-06, 1.40498818e-03, 4.70516138e-03, 0.00000000e+00, 3.34889749e+00, 0.00000000e+00, 0.00000000e+00, -1.19152027e+04, 7.36341940e+06, 0.00000000e+00, -4.82892184e+00, -3.57805565e+00, -4.34066161e+00, 1.26943520e+00, 0.00000000e+00, -13.4844278574, 10.0000000000, 2270.3219921279, 0.0359671297
          38, 6.35790101e-03, 1.50255155e-03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 5.90811358e-06, 1.50255155e-03, 6.35790101e-03, 0.00000000e+00, 4.23140290e+00, 0.00000000e+00, 0.00000000e+00, -1.19928555e+04, 7.40376196e+06, 0.00000000e+00, -4.88122629e+00, -3.57655967e+00, -4.35908813e+00, 1.22487059e+00, 0.00000000e+00, -13.5059445592, 10.0000000000, 2419.6985345596, 0.0368672225
          39, 7.03340792e-03, 1.50918575e-03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 6.58575536e-06, 1.50918575e-03, 7.03340792e-03, 0.00000000e+00, 4.66039910e+00, 0.00000000e+00, 0.00000000e+00, -1.22333571e+04, 7.54692538e+06, 0.00000000e+00, -4.93221919e+00, -3.58597038e+00, -4.37599258e+00, 1.18192647e+00, 0.00000000e+00, -13.5416392896, 10.0000000000, 2626.7149950015, 0.0377615707
          40, 7.01761083e-03, 1.43992389e-03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 6.56851092e-06, 1.43992389e-03, 7.01761083e-03, 0.00000000e+00, 4.87359843e+00, 0.00000000e+00, 0.00000000e+00, -1.17139463e+04, 7.24152915e+06, 0.00000000e+00, -4.98056555e+00, -3.60232558e+00, -4.41303193e+00, 1.12711135e+00, 0.00000000e+00, -13.5739980934, 10.0000000000, 2842.9436027474, 0.0386531297
          41, 6.39390991e-03, 1.40657255e-03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 5.94092035e-06, 1.40657255e-03, 6.39390991e-03, 0.00000000e+00, 4.54573774e+00, 0.00000000e+00, 0.00000000e+00, -1.12774633e+04, 6.98151031e+06, 0.00000000e+00, -5.00544560e+00, -3.61793199e+00, -4.43554634e+00, 1.10548938e+00, 0.00000000e+00, -13.5827920846, 10.0000000000, 3144.9977824622, 0.0395483456
