"Conservative_1"	"Residual_1"	"Points:0"	"Points:1"	"Points:2"
390.44	2.7044e-017	0.00010501	0.00042594	0
390.43	2.6407e-017	9.8398e-005	0.00041167	0
390.45	1.6016e-017	0.00010084	0.00041057	0
390.45	-3.3153e-016	0.00012247	0.00047004	0
390.46	-6.5648e-016	0.00013	0.00048392	0
390.52	2.7782e-016	0.00016228	0.00053817	0
390.5	3.5677e-016	0.00015389	0.0005248	0
390.71	5.6006e-018	0.00020345	0.00056703	0
390.66	3.4619e-018	0.00019784	0.000571	0
390.64	8.8261e-018	0.00018893	0.00055819	0
390.69	-1.2658e-017	0.0001946	0.00055431	0
390.62	-1.7432e-018	0.00019433	0.00057348	0
390.6	-9.2835e-018	0.00018538	0.00056061	0
390.59	-6.7218e-016	0.00019792	0.00059028	0
390.61	-2.3578e-016	0.00020734	0.00060294	0
390.64	-1.712e-016	0.0002269	0.00062772	0
390.66	9.2623e-017	0.00023691	0.00063993	0
390.66	-5.5667e-016	0.00023678	0.00064003	0
390.64	-7.4983e-017	0.00022677	0.00062783	0
390.73	8.4359e-017	0.00026806	0.00067558	0
390.75	-1.849e-016	0.00027882	0.00068713	0
390.75	2.131e-016	0.0002787	0.00068724	0
390.73	-1.1029e-016	0.00026794	0.00067568	0
396.87	1.58e-018	0.00092106	0.0004298	0
396.47	4.7434e-019	0.00090476	0.00045931	0
396.65	5.0822e-018	0.00088902	0.0004358	0
390.87	1.9087e-016	0.00033526	0.00074225	0
390.9	8.4933e-018	0.00034706	0.00075273	0
390.89	-2.4357e-016	0.00034696	0.00075285	0
390.87	-3.075e-016	0.00033515	0.00074237	0
391.26	-5.2702e-018	0.00042184	0.00077249	0
391.14	-1.0437e-017	0.00040678	0.00077855	0
391.24	1.9846e-018	0.00040977	0.0007624	0
391.16	-6.1695e-016	0.00046028	0.00083831	0
391.19	-1.205e-017	0.00047358	0.0008468	0
391.19	-5.6319e-016	0.0004735	0.00084694	0
391.16	3.85e-016	0.00046019	0.00083844	0
391.23	5.3002e-016	0.00048693	0.00085522	0
391.5	2.2676e-017	0.00057314	0.00089418	0
391.48	-3.0058e-017	0.00057197	0.0008966	0
391.44	-1.5726e-017	0.00055787	0.00088965	0
391.46	-1.0774e-018	0.00055908	0.00088725	0
391.45	2.4517e-016	0.00057014	0.00090039	0
391.41	5.6489e-016	0.00055598	0.00089341	0
391.61	2.8805e-018	0.00060333	0.00090345	0
391.57	-3.0713e-018	0.00060158	0.00090737	0
391.53	-1.1762e-017	0.00058731	0.00090089	0
391.57	7.5538e-018	0.00058912	0.00089699	0
391.57	1.8831e-016	0.00061326	0.00091997	0
391.61	1.9379e-016	0.00062783	0.00092604	0
391.65	4.6693e-016	0.0006425	0.00093187	0
391.61	-5.1913e-016	0.00062789	0.00092589	0
391.65	-3.1033e-016	0.00064255	0.00093173	0
391.7	-3.0058e-017	0.00065731	0.00093733	0
391.7	4.9938e-017	0.00065725	0.00093748	0
391.79	6.4312e-017	0.00068707	0.00094784	0
391.84	-2.6031e-016	0.00070207	0.00095274	0
391.83	-3.4879e-016	0.00070203	0.00095289	0
391.79	-6.7323e-016	0.00068702	0.00094799	0
391.96	2.9407e-018	0.00072033	0.00094684	0
392.01	1.4475e-017	0.00073531	0.00095122	0
391.98	-9.3479e-018	0.00073414	0.00095535	0
391.93	-2.6599e-017	0.00071909	0.00095096	0
392.3	1.8256e-016	0.00084008	0.00098578	0
392.36	-2.8618e-016	0.00085566	0.00098826	0
392.35	3.005e-016	0.00085562	0.00098852	0
392.3	-3.612e-016	0.00084004	0.00098604	0
392.41	-7.4288e-016	0.00087123	0.00099091	0
392.47	-2.0323e-016	0.00088689	0.0009929	0
392.47	-4.0342e-016	0.00088691	0.00099274	0
392.53	7.6907e-017	0.00090259	0.00099448	0
392.53	-4.7429e-016	0.00090258	0.00099464	0
392.59	-1.1321e-016	0.0009183	0.00099597	0
392.65	1.0187e-016	0.00093404	0.00099722	0
392.64	-5.095e-016	0.00093403	0.00099738	0
392.58	2.54e-016	0.00091829	0.00099613	0
392.8	-1.7202e-017	0.00096582	0.00099223	0
392.79	4.28e-017	0.00096571	0.00099492	0
392.73	1.7217e-017	0.00095001	0.00099417	0
392.74	-2.4757e-017	0.00095016	0.00099149	0
392.71	-4.6016e-016	0.00094979	0.00099821	0
392.7	-1.7168e-017	0.00094978	0.00099837	0
392.89	-3.8243e-016	0.00099711	0.00099971	0
392.95	4.2339e-016	0.0010129	0.00099971	0
392.95	-5.8482e-016	0.0010129	0.00099987	0
392.89	1.9058e-017	0.00099711	0.00099987	0
393.21	2.4822e-016	0.0010759	0.00099696	0
393.28	1.0968e-017	0.0010917	0.00099572	0
393.27	4.2469e-016	0.0010917	0.00099597	0
393.21	-4.2288e-016	0.001076	0.00099722	0
393.53	-3.6106e-016	0.0011543	0.00098826	0
393.6	-1.5885e-017	0.0011699	0.00098578	0
393.6	-3.0776e-016	0.00117	0.00098604	0
393.53	1.6876e-016	0.0011544	0.00098852	0
394.08	-6.2528e-018	0.0012928	0.0009574	0
394.14	2.3573e-016	0.0013079	0.00095274	0
394.14	9.4079e-017	0.001308	0.00095289	0
394.08	-4.8327e-016	0.0012929	0.00095756	0
394.38	1.723e-017	0.001365	0.00092545	0
394.33	-8.9193e-018	0.0013504	0.00093102	0
394.34	1.8741e-017	0.0013489	0.00092699	0
394.39	2.7139e-018	0.0013634	0.00092145	0
394.36	-2.3567e-016	0.0013674	0.00093173	0
394.42	1.65e-016	0.0013821	0.00092589	0
394.42	-5.8974e-016	0.0013822	0.00092604	0
394.36	2.0994e-016	0.0013675	0.00093187	0
394.57	8.3592e-017	0.0014252	0.00090639	0
394.62	7.6989e-017	0.0014395	0.00089965	0
394.62	3.4955e-017	0.0014397	0.00090001	0
394.57	-9.6177e-017	0.0014254	0.00090676	0
394.62	2.3552e-017	0.0014398	0.00090024	0
394.57	-8.1022e-017	0.0014255	0.000907	0
394.72	-4.1285e-016	0.001468	0.00088607	0
394.77	-1.2127e-016	0.0014819	0.00087865	0
394.77	-2.6459e-016	0.001482	0.00087879	0
394.72	4.9331e-017	0.0014681	0.00088621	0
394.94	1.0308e-016	0.0015365	0.00084694	0
394.97	-8.5939e-017	0.0015498	0.00083844	0
395.02	4.8363e-017	0.0015736	0.00081737	0
395.04	-3.6482e-017	0.0015864	0.0008083	0
395.03	5.298e-017	0.0015874	0.00080966	0
395.02	-1.86e-017	0.0015746	0.00081875	0
394.99	3.4665e-016	0.0015629	0.00082961	0
395.02	-3.7438e-016	0.0015759	0.0008207	0
395.02	1.3046e-016	0.001576	0.00082083	0
394.99	-7.3101e-016	0.001563	0.00082974	0
395.04	1.3891e-018	0.0016629	0.00075273	0
395.03	-2.7371e-016	0.0016747	0.00074225	0
395.03	3.738e-016	0.0016748	0.00074237	0
395.04	2.5481e-016	0.001663	0.00075285	0
395.02	-8.5704e-017	0.0016864	0.00073158	0
395.01	5.2941e-017	0.0016978	0.00072073	0
395.01	1.3189e-016	0.0016979	0.00072085	0
395.02	3.2159e-016	0.0016865	0.0007317	0
395.02	-6.4918e-018	0.0017124	0.0006908	0
395.01	1.4029e-017	0.0017154	0.0006938	0
395.02	1.4953e-017	0.0017044	0.00070493	0
395.03	-6.938e-018	0.0017014	0.00070188	0
394.98	4.3643e-016	0.0017526	0.00066396	0
394.98	3.4849e-016	0.001763	0.00065208	0
394.98	-1.3611e-016	0.0017629	0.00065198	0
394.98	-5.9099e-016	0.0017731	0.00063993	0
394.98	4.3848e-016	0.0017732	0.00064003	0
394.39	-4.3068e-016	0.0019988	0.00011027	0
394.38	-3.3208e-016	0.0020004	9.457e-005	0
394.42	3.489e-016	0.0019947	0.00014157	0
394.41	-6.8612e-017	0.0019968	0.00012593	0
394.41	-3.5797e-016	0.0019969	0.00012595	0
394.42	-8.6619e-016	0.0019948	0.00014159	0
394.39	2.8839e-016	0.0019986	0.00011025	0
394.38	3.0628e-016	0.0020003	9.4555e-005	0
394.44	-1.5839e-016	0.0019925	0.0001572	0
394.46	1.3837e-016	0.0019897	0.00017274	0
394.44	-1.27e-016	0.0019923	0.00015717	0
394.46	2.1155e-016	0.0019899	0.00017277	0
394.46	-2.2451e-017	0.001988	0.00014061	0
394.48	9.79e-018	0.0019857	0.00015611	0
394.5	-2.0526e-017	0.0019814	0.00015544	0
394.48	5.9315e-018	0.0019837	0.00014001	0
394.58	1.5869e-016	0.001973	0.00024985	0
394.56	1.2851e-016	0.0019768	0.00023454	0
394.55	-2.0177e-016	0.001977	0.00023457	0
394.58	-2.0045e-016	0.0019732	0.00024989	0
394.69	2.8916e-016	0.0019553	0.00031044	0
394.66	3.8868e-016	0.0019601	0.0002954	0
394.66	-7.4396e-016	0.0019603	0.00029544	0
394.69	-1.2126e-016	0.0019555	0.00031049	0
394.75	-1.1628e-016	0.001945	0.00034028	0
394.72	9.4355e-017	0.0019503	0.0003254	0
394.72	1.3161e-016	0.0019505	0.00032545	0
394.75	-2.7119e-016	0.0019452	0.00034034	0
394.96	9.0484e-018	0.0018887	0.00035363	0
394.94	8.0138e-018	0.0018937	0.00033858	0
394.9	-6.5084e-018	0.0019059	0.00035096	0
394.86	2.7689e-016	0.0019217	0.00039893	0
394.83	4.1775e-016	0.0019279	0.00038441	0
394.83	-7.5314e-016	0.001928	0.00038447	0
394.86	4.3651e-017	0.0019218	0.00039899	0
395	-4.1516e-016	0.001821	0.00057722	0
395	-2.9141e-016	0.00183	0.00056427	0
395	1.5987e-016	0.0018302	0.00056441	0
395	3.4615e-016	0.0018212	0.00057737	0
395	4.0084e-016	0.0018477	0.00053817	0
395	-2.8765e-016	0.0018391	0.00055141	0
394.95	1.5011e-016	0.0018948	0.00045605	0
394.95	-1.4365e-017	0.0018919	0.000437	0
394.93	3.2586e-018	0.0018987	0.00042295	0
394.92	-2.0556e-017	0.0019026	0.00042479	0
394.94	2.664e-017	0.0018957	0.0004389	0
393.85	1.5185e-016	0.0012319	0.00097382	0
393.91	-3.9294e-016	0.0012472	0.00097011	0
394.86	-2.1033e-016	0.0015095	0.0008633	0
