"Iteration","HeatFlux_Total","HeatFlux_Maximum","Temperature_Total","Res_Heat","Linear_Solver_Iterations","CFL_Number","Time(min)"
          85, -4.78864077e+03, 0.00000000e+00, 0.00000000e+00, -5.96782394e+00, 0.0000000000, 7944.7469590509, 0.0792610206
          86, -6.26059318e+03, 0.00000000e+00, 0.00000000e+00, -5.97535531e+00, 0.0000000000, 5645.7728420047, 0.0801531841
          87, -5.53321953e+03, 0.00000000e+00, 0.00000000e+00, -6.12446882e+00, 0.0000000000, 5724.6441729355, 0.0810465383
          88, -4.52506352e+03, 0.00000000e+00, 0.00000000e+00, -6.14804303e+00, 0.0000000000, 7534.2374657050, 0.0819379322
          89, -4.65269592e+03, 0.00000000e+00, 0.00000000e+00, -6.00929311e+00, 0.0000000000, 7868.6219261035, 0.0828301671
          90, -6.05117248e+03, 0.00000000e+00, 0.00000000e+00, -6.00061398e+00, 0.0000000000, 5716.7441713404, 0.0837258833
          91, -5.46616779e+03, 0.00000000e+00, 0.00000000e+00, -6.16342762e+00, 0.0000000000, 5603.6322807871, 0.0846179599
          92, -4.47835336e+03, 0.00000000e+00, 0.00000000e+00, -6.18770719e+00, 0.0000000000, 7563.4603305608, 0.0855075504
          93, -4.62224257e+03, 0.00000000e+00, 0.00000000e+00, -6.04218773e+00, 0.0000000000, 7909.4119464403, 0.0864011241
          94, -5.88495947e+03, 0.00000000e+00, 0.00000000e+00, -6.04381198e+00, 0.0000000000, 5657.5021451301, 0.0872884825
          95, -5.26452405e+03, 0.00000000e+00, 0.00000000e+00, -6.18923380e+00, 0.0000000000, 5674.4546720621, 0.0881778348
          96, -4.48429026e+03, 0.00000000e+00, 0.00000000e+00, -6.21866202e+00, 0.0000000000, 7417.5689092569, 0.0890689555
          97, -4.63110336e+03, 0.00000000e+00, 0.00000000e+00, -6.08504321e+00, 0.0000000000, 7830.7645329502, 0.0899622887
          98, -5.70724525e+03, 0.00000000e+00, 0.00000000e+00, -6.09267394e+00, 0.0000000000, 5756.8557638538, 0.0908532311
          99, -5.15913231e+03, 0.00000000e+00, 0.00000000e+00, -6.23911880e+00, 0.0000000000, 5838.3474105092, 0.0917450465
         100, -4.40671747e+03, 0.00000000e+00, 0.00000000e+00, -6.25853926e+00, 0.0000000000, 7646.2029957558, 0.0926355991
         101, -4.56692368e+03, 0.00000000e+00, 0.00000000e+00, -6.11020613e+00, 0.0000000000, 7924.6883015046, 0.0939045218
         102, -5.62923381e+03, 0.00000000e+00, 0.00000000e+00, -6.12151352e+00, 0.0000000000, 5631.8238144267, 0.0948073617
         103, -5.11070486e+03, 0.00000000e+00, 0.00000000e+00, -6.27585495e+00, 0.0000000000, 5750.3591566400, 0.0958160264
         104, -4.38032814e+03, 0.00000000e+00, 0.00000000e+00, -6.30019530e+00, 0.0000000000, 7641.3152306177, 0.0967421056
         105, -4.48272479e+03, 0.00000000e+00, 0.00000000e+00, -6.14977504e+00, 0.0000000000, 7991.7225980182, 0.0976266278
         106, -5.49717336e+03, 0.00000000e+00, 0.00000000e+00, -6.14894946e+00, 0.0000000000, 5652.2340996567, 0.0985040061
         107, -5.05027952e+03, 0.00000000e+00, 0.00000000e+00, -6.31138228e+00, 0.0000000000, 5641.4995643525, 0.0993831412
         108, -4.32786871e+03, 0.00000000e+00, 0.00000000e+00, -6.33517742e+00, 0.0000000000, 7609.2317620787, 0.1002568310
         109, -4.39992896e+03, 0.00000000e+00, 0.00000000e+00, -6.18856190e+00, 0.0000000000, 7950.1793550351, 0.1011341858
         110, -5.32770622e+03, 0.00000000e+00, 0.00000000e+00, -6.18163073e+00, 0.0000000000, 5672.3289003007, 0.1020074387
         111, -4.95858283e+03, 0.00000000e+00, 0.00000000e+00, -6.34572438e+00, 0.0000000000, 5582.5193634383, 0.1028846473
         112, -4.27596931e+03, 0.00000000e+00, 0.00000000e+00, -6.36494654e+00, 0.0000000000, 7552.7507626321, 0.1037672091
         113, -4.38439899e+03, 0.00000000e+00, 0.00000000e+00, -6.22200158e+00, 0.0000000000, 7824.9737206642, 0.1046427420
         114, -5.18220197e+03, 0.00000000e+00, 0.00000000e+00, -6.23034983e+00, 0.0000000000, 5630.3828368527, 0.1056073357
         115, -4.83294190e+03, 0.00000000e+00, 0.00000000e+00, -6.38178087e+00, 0.0000000000, 5717.6362669199, 0.1064868073
         116, -4.25791565e+03, 0.00000000e+00, 0.00000000e+00, -6.39870641e+00, 0.0000000000, 7557.2077129307, 0.1073651992
         117, -4.36522836e+03, 0.00000000e+00, 0.00000000e+00, -6.25863181e+00, 0.0000000000, 7796.5377208251, 0.1082421825
         118, -5.08940677e+03, 0.00000000e+00, 0.00000000e+00, -6.26904978e+00, 0.0000000000, 5647.1221738970, 0.1091211355
         119, -4.77183099e+03, 0.00000000e+00, 0.00000000e+00, -6.42310514e+00, 0.0000000000, 5756.5405016779, 0.1100086517
         120, -4.24655825e+03, 0.00000000e+00, 0.00000000e+00, -6.44004204e+00, 0.0000000000, 7645.4993392366, 0.1108863328
         121, -4.33915298e+03, 0.00000000e+00, 0.00000000e+00, -6.29375797e+00, 0.0000000000, 7887.7906477823, 0.1117631512
         122, -5.03550719e+03, 0.00000000e+00, 0.00000000e+00, -6.30047726e+00, 0.0000000000, 5632.1122471371, 0.1126376700
         123, -4.74002544e+03, 0.00000000e+00, 0.00000000e+00, -6.46346985e+00, 0.0000000000, 5702.2563345239, 0.1135147697
         124, -4.24962948e+03, 0.00000000e+00, 0.00000000e+00, -6.48544654e+00, 0.0000000000, 7699.1149566562, 0.1143915819
         125, -4.32263459e+03, 0.00000000e+00, 0.00000000e+00, -6.33109332e+00, 0.0000000000, 8017.1896406451, 0.1152696553
         126, -4.98978394e+03, 0.00000000e+00, 0.00000000e+00, -6.33343181e+00, 0.0000000000, 5619.1282031171, 0.1161508725
         127, -4.69885617e+03, 0.00000000e+00, 0.00000000e+00, -6.49822849e+00, 0.0000000000, 5643.3856705296, 0.1170286974
         128, -4.23520116e+03, 0.00000000e+00, 0.00000000e+00, -6.52402014e+00, 0.0000000000, 7644.9927419269, 0.1179044309
         129, -4.26233644e+03, 0.00000000e+00, 0.00000000e+00, -6.37695577e+00, 0.0000000000, 8016.9724438164, 0.1187792823
         130, -4.87003627e+03, 0.00000000e+00, 0.00000000e+00, -6.36430204e+00, 0.0000000000, 5714.0761018518, 0.1196583888
         131, -4.64049099e+03, 0.00000000e+00, 0.00000000e+00, -6.53195137e+00, 0.0000000000, 5549.9912154394, 0.1205347882
         132, -4.20399089e+03, 0.00000000e+00, 0.00000000e+00, -6.55398675e+00, 0.0000000000, 7558.0847218512, 0.1214116060
         133, -4.28508029e+03, 0.00000000e+00, 0.00000000e+00, -6.40701401e+00, 0.0000000000, 7871.1839118393, 0.1222897043
         134, -4.80179689e+03, 0.00000000e+00, 0.00000000e+00, -6.42253922e+00, 0.0000000000, 5611.3495549034, 0.1231638151
         135, -4.52674624e+03, 0.00000000e+00, 0.00000000e+00, -6.55712204e+00, 0.0000000000, 5774.1424461708, 0.1240401123
         136, -4.22473718e+03, 0.00000000e+00, 0.00000000e+00, -6.58345641e+00, 0.0000000000, 7398.6715049265, 0.1249215290
         137, -4.26485967e+03, 0.00000000e+00, 0.00000000e+00, -6.46373553e+00, 0.0000000000, 7766.4266700061, 0.1257993733
         138, -4.67934453e+03, 0.00000000e+00, 0.00000000e+00, -6.46752130e+00, 0.0000000000, 5895.2247036632, 0.1266749569
         139, -4.48750736e+03, 0.00000000e+00, 0.00000000e+00, -6.61302898e+00, 0.0000000000, 5936.4796181295, 0.1275527208
         140, -4.15351843e+03, 0.00000000e+00, 0.00000000e+00, -6.62106070e+00, 0.0000000000, 7761.3116646343, 0.1284281015
         141, -4.25892706e+03, 0.00000000e+00, 0.00000000e+00, -6.46520659e+00, 0.0000000000, 7876.9936968695, 0.1293061219
         142, -4.68008888e+03, 0.00000000e+00, 0.00000000e+00, -6.50652531e+00, 0.0000000000, 5501.8201293908, 0.1301794249
         143, -4.44027713e+03, 0.00000000e+00, 0.00000000e+00, -6.64194672e+00, 0.0000000000, 5936.9222572951, 0.1310564779
         144, -4.17605444e+03, 0.00000000e+00, 0.00000000e+00, -6.65932597e+00, 0.0000000000, 7619.0091643039, 0.1319305461
         145, -4.21799819e+03, 0.00000000e+00, 0.00000000e+00, -6.52696367e+00, 0.0000000000, 7866.8685613806, 0.1328085431
         146, -4.58481398e+03, 0.00000000e+00, 0.00000000e+00, -6.53725189e+00, 0.0000000000, 5800.1548852145, 0.1336861154
         147, -4.42057165e+03, 0.00000000e+00, 0.00000000e+00, -6.68976724e+00, 0.0000000000, 5911.1253870742, 0.1345650605
         148, -4.12637747e+03, 0.00000000e+00, 0.00000000e+00, -6.69892712e+00, 0.0000000000, 7828.5701558381, 0.1354373637
         149, -4.18047681e+03, 0.00000000e+00, 0.00000000e+00, -6.54443225e+00, 0.0000000000, 7961.7833111263, 0.1363126002
